,num_passengers,sales_channel,length_of_stay,trip_type,booking_origin,purchase_to_travel,flight_day,flight_duration,flight_hour
36,1,Internet,87,RoundTrip,Australia,4,Mon,8.58,4
37,1,Internet,22,RoundTrip,Australia,92,Sun,8.83,23
38,1,Internet,90,RoundTrip,Australia,51,Thu,8.83,1
39,1,Internet,27,RoundTrip,Australia,12,Thu,8.83,22
40,2,Internet,18,RoundTrip,Australia,32,Tue,8.83,6
41,1,Mobile,91,RoundTrip,Australia,53,Sat,8.83,5
42,2,Internet,20,RoundTrip,Australia,311,Sun,8.83,7
43,1,Internet,23,RoundTrip,Australia,7,Tue,8.83,10
44,2,Internet,18,RoundTrip,Australia,359,Sat,8.83,13
45,1,Internet,31,RoundTrip,Australia,89,Thu,8.83,10
46,3,Internet,29,RoundTrip,Australia,103,Tue,8.83,9
47,1,Internet,28,RoundTrip,Australia,59,Sun,8.83,6
48,1,Internet,91,RoundTrip,Australia,18,Sun,8.83,0
49,1,Internet,18,RoundTrip,Australia,0,Tue,8.83,1
50,1,Internet,25,RoundTrip,Australia,61,Fri,8.83,5
51,3,Internet,27,RoundTrip,Australia,37,Thu,8.83,13
52,1,Internet,228,RoundTrip,Australia,7,Wed,8.83,1
53,1,Internet,17,RoundTrip,Australia,4,Wed,5.62,0
54,1,Internet,91,RoundTrip,Australia,27,Sun,5.62,11
55,1,Mobile,25,RoundTrip,Australia,26,Tue,5.62,10
56,1,Internet,32,RoundTrip,Australia,16,Sat,5.62,6
57,1,Internet,20,RoundTrip,Australia,102,Mon,5.62,11
58,1,Internet,140,RoundTrip,Australia,37,Fri,8.58,0
59,1,Internet,69,RoundTrip,Australia,2,Sat,8.58,3
60,1,Internet,81,RoundTrip,Australia,124,Tue,8.58,16
61,1,Internet,18,RoundTrip,Australia,41,Fri,8.58,9
62,2,Internet,20,RoundTrip,Australia,98,Tue,8.58,7
63,1,Internet,22,RoundTrip,Australia,261,Sun,8.58,7
64,1,Internet,30,RoundTrip,Australia,119,Tue,8.58,10
65,1,Internet,21,RoundTrip,Australia,124,Fri,8.58,19
66,1,Internet,55,RoundTrip,Australia,15,Tue,8.58,7
67,2,Mobile,160,RoundTrip,Australia,4,Wed,8.58,9
68,1,Internet,41,RoundTrip,Australia,32,Sun,8.58,3
69,1,Internet,23,RoundTrip,Australia,153,Thu,8.58,13
70,1,Mobile,89,RoundTrip,Australia,41,Fri,8.58,1
71,1,Internet,140,RoundTrip,Australia,38,Thu,8.58,23
72,1,Internet,81,RoundTrip,Australia,7,Sat,6.62,5
73,1,Internet,39,RoundTrip,Australia,12,Sun,8.83,6
74,1,Internet,17,RoundTrip,Australia,27,Tue,8.83,14
75,2,Internet,81,RoundTrip,Australia,141,Fri,8.83,13
76,1,Internet,86,RoundTrip,Australia,40,Mon,8.83,13
77,1,Internet,22,RoundTrip,Australia,12,Fri,8.83,23
78,1,Internet,19,RoundTrip,Australia,2,Tue,8.83,3
79,1,Internet,41,RoundTrip,Australia,50,Mon,8.83,11
80,1,Internet,23,RoundTrip,Australia,16,Thu,8.83,22
81,2,Internet,91,RoundTrip,Australia,5,Wed,8.83,9
82,1,Mobile,40,RoundTrip,Australia,39,Tue,8.83,23
83,1,Internet,36,RoundTrip,Australia,228,Thu,8.83,6
84,1,Internet,27,RoundTrip,Australia,88,Fri,8.83,23
85,1,Mobile,36,RoundTrip,Australia,12,Fri,8.83,1
86,1,Internet,20,RoundTrip,Australia,254,Mon,8.83,14
87,1,Internet,32,RoundTrip,Australia,102,Fri,8.83,9
88,1,Mobile,30,RoundTrip,Australia,113,Fri,8.83,8
89,1,Mobile,33,RoundTrip,Australia,60,Sun,8.83,2
90,2,Internet,57,RoundTrip,Australia,351,Fri,8.83,10
91,1,Internet,41,RoundTrip,Australia,65,Sat,8.83,13
92,2,Internet,34,RoundTrip,Australia,95,Sat,8.83,0
93,1,Internet,88,RoundTrip,Australia,34,Fri,8.83,5
94,1,Internet,28,RoundTrip,Australia,4,Fri,8.83,14
95,1,Internet,43,RoundTrip,Australia,20,Wed,8.83,9
96,1,Internet,18,RoundTrip,Australia,6,Fri,8.83,14
97,1,Internet,20,RoundTrip,Australia,44,Sat,8.83,23
98,1,Internet,61,RoundTrip,Australia,171,Sun,8.83,11
99,2,Internet,44,RoundTrip,Australia,3,Tue,8.83,13
100,6,Internet,25,RoundTrip,Australia,271,Mon,8.83,3
101,2,Internet,17,RoundTrip,Australia,171,Tue,8.83,12
102,1,Internet,20,RoundTrip,Australia,44,Tue,8.83,7
103,1,Internet,24,RoundTrip,Australia,27,Wed,8.83,8
104,1,Internet,26,RoundTrip,Australia,289,Sun,8.83,21
105,1,Internet,23,RoundTrip,Australia,13,Mon,8.83,5
106,1,Internet,43,RoundTrip,Australia,55,Wed,8.83,7
107,1,Internet,18,RoundTrip,Australia,58,Fri,8.83,13
108,1,Internet,22,RoundTrip,Australia,24,Sat,8.83,0
109,1,Internet,22,RoundTrip,Australia,87,Sat,8.83,13
110,1,Internet,34,RoundTrip,Australia,45,Fri,8.83,6
111,3,Internet,23,RoundTrip,Australia,16,Wed,8.83,9
112,1,Internet,88,RoundTrip,Australia,46,Tue,8.83,12
113,1,Internet,27,RoundTrip,Australia,335,Sat,8.83,10
114,1,Internet,119,RoundTrip,Australia,32,Fri,8.83,2
115,1,Internet,49,RoundTrip,Australia,42,Tue,8.83,7
116,1,Internet,19,RoundTrip,Australia,22,Sat,8.83,2
117,1,Internet,21,RoundTrip,Australia,13,Sat,8.83,5
118,1,Internet,19,RoundTrip,Australia,54,Sun,8.83,13
119,2,Internet,25,RoundTrip,Australia,297,Sun,8.83,6
120,2,Internet,18,RoundTrip,Australia,12,Fri,8.83,10
121,1,Internet,90,RoundTrip,Australia,41,Mon,8.83,6
122,1,Internet,23,RoundTrip,Australia,33,Tue,8.83,6
123,1,Mobile,17,RoundTrip,Australia,124,Wed,8.83,20
124,4,Internet,18,RoundTrip,Australia,101,Sat,8.83,6
125,1,Internet,33,RoundTrip,Australia,49,Fri,8.83,3
126,1,Internet,86,RoundTrip,Australia,27,Sun,8.83,3
127,2,Internet,20,RoundTrip,Australia,73,Sun,8.83,13
128,2,Internet,29,RoundTrip,Australia,102,Sun,8.83,3
129,1,Internet,25,RoundTrip,Australia,66,Thu,8.83,10
130,1,Internet,89,RoundTrip,Australia,188,Tue,8.83,23
131,1,Internet,34,RoundTrip,Australia,19,Tue,8.83,7
132,1,Internet,40,RoundTrip,Australia,137,Sun,8.83,23
133,1,Internet,22,RoundTrip,Australia,45,Fri,8.83,14
134,1,Internet,87,RoundTrip,Australia,25,Tue,8.83,13
135,1,Internet,22,RoundTrip,Australia,2,Thu,5.62,17
136,2,Internet,18,RoundTrip,Australia,52,Mon,5.62,13
137,1,Internet,20,RoundTrip,Australia,21,Thu,5.62,8
138,1,Internet,1,OneWay,Australia,8,Fri,5.62,12
139,1,Internet,26,RoundTrip,Australia,9,Tue,5.62,7
140,1,Internet,23,RoundTrip,Australia,46,Fri,5.62,13
141,1,Internet,24,RoundTrip,Australia,3,Thu,5.62,8
142,2,Internet,19,RoundTrip,Australia,40,Wed,5.62,12
143,1,Internet,17,RoundTrip,Australia,4,Sat,5.62,15
144,1,Internet,1,OneWay,Australia,8,Fri,5.62,14
145,1,Internet,26,RoundTrip,Australia,116,Wed,5.62,3
146,1,Internet,34,RoundTrip,Australia,7,Mon,5.62,13
147,1,Mobile,20,RoundTrip,Australia,14,Wed,5.62,1
148,5,Internet,24,RoundTrip,Australia,53,Thu,5.62,11
149,2,Internet,23,RoundTrip,Australia,65,Tue,5.62,4
150,1,Internet,17,RoundTrip,Australia,154,Thu,5.62,11
151,1,Internet,1,RoundTrip,Australia,39,Sun,5.62,10
152,1,Internet,24,RoundTrip,Australia,54,Thu,5.62,7
153,1,Internet,34,RoundTrip,Australia,130,Mon,5.62,0
154,1,Internet,18,RoundTrip,Australia,97,Sat,5.62,9
155,1,Internet,93,RoundTrip,Australia,24,Fri,5.62,6
156,1,Internet,26,RoundTrip,Australia,42,Tue,5.62,6
157,1,Internet,28,RoundTrip,Australia,24,Wed,8.58,9
158,2,Internet,77,RoundTrip,Australia,237,Sun,8.58,9
159,1,Internet,89,RoundTrip,Australia,168,Tue,8.58,13
160,1,Internet,29,RoundTrip,Australia,32,Mon,8.58,8
161,1,Internet,22,RoundTrip,Australia,87,Sun,8.58,13
162,2,Internet,90,RoundTrip,Australia,157,Sun,8.58,7
163,1,Internet,36,RoundTrip,Australia,98,Fri,8.58,13
164,1,Internet,87,RoundTrip,Australia,200,Sun,8.58,12
165,1,Internet,18,RoundTrip,Australia,218,Fri,8.58,6
166,2,Internet,88,RoundTrip,Australia,5,Wed,8.58,21
167,1,Internet,31,RoundTrip,Australia,193,Wed,8.58,0
168,1,Internet,18,RoundTrip,Australia,149,Tue,8.58,7
169,1,Internet,21,RoundTrip,Australia,54,Mon,8.58,13
170,1,Internet,1,RoundTrip,Australia,2,Tue,8.58,2
171,1,Internet,27,RoundTrip,Australia,47,Mon,8.58,5
173,1,Internet,27,RoundTrip,Australia,80,Wed,8.58,12
174,2,Internet,22,RoundTrip,Australia,403,Mon,8.58,11
175,3,Internet,21,RoundTrip,Australia,412,Tue,8.58,11
176,1,Internet,23,RoundTrip,Australia,10,Sat,8.58,12
177,1,Internet,21,RoundTrip,Australia,77,Mon,8.58,13
178,1,Internet,86,RoundTrip,Australia,2,Mon,8.58,1
179,2,Internet,31,RoundTrip,Australia,28,Wed,8.58,22
180,1,Internet,35,RoundTrip,Australia,11,Wed,8.58,14
181,2,Internet,49,RoundTrip,Australia,323,Tue,8.58,2
182,1,Internet,29,RoundTrip,Australia,13,Sun,8.58,5
183,1,Internet,30,RoundTrip,Australia,11,Fri,8.58,10
184,1,Internet,27,RoundTrip,Australia,40,Fri,8.83,12
185,3,Internet,178,RoundTrip,Australia,30,Mon,8.83,14
186,1,Internet,22,RoundTrip,Australia,99,Mon,8.83,5
187,1,Internet,40,RoundTrip,Australia,14,Tue,8.83,5
188,1,Internet,64,RoundTrip,Australia,32,Wed,8.83,1
189,2,Internet,64,RoundTrip,Australia,55,Thu,8.83,1
190,4,Internet,36,RoundTrip,Australia,59,Mon,8.83,12
191,1,Internet,97,RoundTrip,Australia,27,Tue,8.83,3
192,2,Internet,81,RoundTrip,Australia,45,Tue,8.83,8
193,4,Internet,29,RoundTrip,Australia,40,Tue,8.83,13
194,1,Internet,18,RoundTrip,Australia,175,Thu,8.83,23
195,1,Internet,22,RoundTrip,Australia,59,Wed,8.83,2
196,1,Internet,123,RoundTrip,Australia,12,Fri,8.83,10
197,1,Internet,59,RoundTrip,Australia,21,Sun,8.83,23
198,2,Internet,144,RoundTrip,Australia,99,Sat,8.83,13
199,1,Internet,32,RoundTrip,Australia,33,Tue,8.83,3
200,1,Internet,33,RoundTrip,Australia,133,Tue,8.83,23
201,1,Internet,25,RoundTrip,Australia,215,Mon,8.83,8
202,2,Internet,48,RoundTrip,Australia,176,Tue,8.83,8
203,2,Internet,25,RoundTrip,Australia,29,Sat,8.83,14
204,4,Internet,33,RoundTrip,Australia,254,Fri,8.83,11
205,1,Internet,19,RoundTrip,Australia,179,Wed,8.83,11
206,1,Internet,28,RoundTrip,Australia,13,Mon,8.83,11
207,1,Internet,33,RoundTrip,Australia,97,Mon,8.83,11
208,2,Internet,31,RoundTrip,Australia,124,Fri,8.83,9
209,1,Internet,27,RoundTrip,Australia,25,Tue,8.83,23
210,1,Internet,69,RoundTrip,Australia,66,Sat,8.83,13
211,1,Internet,113,RoundTrip,Australia,27,Mon,8.83,4
212,1,Internet,88,RoundTrip,Australia,86,Thu,8.83,13
213,1,Internet,148,RoundTrip,Australia,81,Thu,8.83,8
214,2,Internet,209,RoundTrip,Australia,48,Tue,8.83,10
215,2,Internet,22,RoundTrip,Australia,218,Sun,8.83,14
217,1,Internet,25,RoundTrip,Australia,87,Mon,8.83,9
218,1,Internet,34,RoundTrip,Australia,15,Mon,8.83,7
219,2,Internet,38,RoundTrip,Australia,59,Fri,8.83,5
220,2,Internet,26,RoundTrip,Australia,199,Sat,8.83,4
221,2,Mobile,23,RoundTrip,Australia,7,Sat,8.83,12
222,1,Internet,21,RoundTrip,Australia,42,Sun,5.62,4
223,1,Internet,69,RoundTrip,Australia,93,Sun,5.62,5
224,2,Internet,23,RoundTrip,Australia,87,Wed,5.62,12
225,2,Internet,178,RoundTrip,Australia,25,Thu,5.62,14
226,1,Internet,36,RoundTrip,Australia,30,Tue,5.62,21
227,1,Internet,52,RoundTrip,Australia,83,Wed,5.62,10
228,1,Internet,141,RoundTrip,Australia,36,Thu,5.62,9
229,3,Internet,22,RoundTrip,Australia,0,Thu,5.62,16
230,2,Internet,66,RoundTrip,Australia,25,Sat,5.62,1
231,2,Internet,62,RoundTrip,Australia,185,Wed,5.62,8
232,1,Internet,79,RoundTrip,Australia,49,Fri,5.62,12
233,1,Internet,27,RoundTrip,Australia,220,Wed,5.62,8
234,2,Internet,22,RoundTrip,Australia,58,Sun,5.62,3
235,1,Internet,29,RoundTrip,Australia,18,Thu,5.62,14
236,2,Internet,22,RoundTrip,Australia,71,Sat,5.62,10
237,2,Internet,39,RoundTrip,Australia,270,Tue,5.62,11
238,2,Internet,68,RoundTrip,Australia,50,Sun,5.62,12
239,3,Internet,26,RoundTrip,Australia,108,Sat,5.62,14
240,3,Internet,31,RoundTrip,Australia,20,Wed,5.62,4
241,3,Internet,22,RoundTrip,Australia,285,Thu,5.62,13
242,2,Internet,88,RoundTrip,Australia,28,Fri,5.62,4
243,1,Internet,22,RoundTrip,Australia,15,Sun,5.62,12
244,2,Internet,43,RoundTrip,Australia,6,Thu,5.62,14
245,3,Internet,60,RoundTrip,Australia,27,Thu,5.62,8
246,1,Internet,22,RoundTrip,Australia,1,Wed,5.62,22
247,1,Internet,41,RoundTrip,Australia,160,Wed,5.62,16
248,1,Internet,27,RoundTrip,Australia,133,Thu,5.62,13
249,2,Internet,61,RoundTrip,Australia,131,Thu,5.62,10
250,2,Internet,29,RoundTrip,Australia,217,Thu,5.62,11
251,1,Mobile,29,RoundTrip,Australia,63,Sat,5.62,3
252,1,Internet,27,RoundTrip,Australia,55,Tue,5.62,9
253,1,Internet,46,RoundTrip,Australia,42,Thu,5.62,4
254,3,Internet,38,RoundTrip,Australia,122,Thu,5.62,12
255,2,Internet,29,RoundTrip,Australia,205,Sun,5.62,14
256,1,Mobile,27,RoundTrip,Australia,60,Tue,5.62,2
257,1,Internet,18,RoundTrip,Australia,127,Wed,5.62,2
258,2,Internet,22,RoundTrip,Australia,135,Sun,5.62,13
259,1,Internet,83,RoundTrip,Australia,58,Sat,5.62,3
260,1,Internet,31,RoundTrip,Australia,96,Thu,5.62,16
261,1,Internet,29,RoundTrip,Australia,82,Sat,5.62,13
262,1,Internet,50,RoundTrip,Australia,74,Sun,5.62,3
263,1,Mobile,30,RoundTrip,Australia,15,Fri,5.62,5
264,1,Internet,20,RoundTrip,Australia,1,Wed,5.62,14
265,1,Internet,36,RoundTrip,Australia,45,Mon,5.62,16
266,1,Mobile,129,RoundTrip,Australia,59,Thu,5.62,12
267,1,Internet,17,RoundTrip,Australia,69,Fri,5.62,9
268,1,Internet,29,RoundTrip,Australia,36,Sat,5.62,11
269,1,Internet,54,RoundTrip,Australia,11,Wed,8.58,6
270,1,Internet,28,RoundTrip,Australia,2,Sat,8.58,10
271,1,Internet,24,RoundTrip,Australia,5,Thu,8.58,0
272,2,Mobile,30,RoundTrip,Australia,213,Fri,8.58,9
273,1,Internet,19,RoundTrip,Australia,160,Thu,8.58,2
274,1,Internet,59,RoundTrip,Australia,85,Sat,8.58,0
275,1,Internet,40,RoundTrip,Australia,22,Sat,8.58,10
276,1,Internet,28,RoundTrip,Australia,15,Sun,8.58,7
277,1,Internet,54,RoundTrip,Australia,68,Fri,8.58,10
278,1,Internet,301,RoundTrip,Australia,14,Sun,8.58,5
279,1,Mobile,42,RoundTrip,Australia,13,Thu,8.58,13
280,1,Internet,23,RoundTrip,Australia,106,Thu,8.58,4
281,2,Internet,33,RoundTrip,Australia,109,Sat,8.58,10
282,2,Internet,105,RoundTrip,Australia,49,Mon,8.58,10
283,1,Internet,30,RoundTrip,Australia,95,Thu,8.58,6
284,1,Internet,28,RoundTrip,Australia,180,Sun,8.58,4
285,1,Internet,31,RoundTrip,Australia,157,Thu,8.58,16
286,1,Internet,17,RoundTrip,Australia,190,Thu,8.58,14
287,1,Internet,42,RoundTrip,Australia,249,Sat,8.58,3
288,2,Internet,17,RoundTrip,Australia,17,Tue,8.58,15
289,2,Internet,85,RoundTrip,Australia,27,Mon,8.58,11
290,1,Mobile,28,RoundTrip,Australia,57,Sat,8.58,2
291,2,Internet,332,RoundTrip,Australia,36,Thu,8.58,11
292,1,Internet,49,RoundTrip,Australia,8,Thu,8.58,2
293,1,Internet,30,RoundTrip,Australia,159,Sun,8.58,10
294,1,Internet,45,RoundTrip,Australia,126,Sun,8.58,23
295,1,Mobile,21,RoundTrip,Australia,22,Tue,8.58,9
296,1,Internet,33,RoundTrip,Australia,237,Sat,8.58,7
297,1,Internet,42,RoundTrip,Australia,146,Tue,8.58,12
298,1,Internet,33,RoundTrip,Australia,86,Wed,8.58,0
299,1,Internet,66,RoundTrip,Australia,87,Tue,8.58,1
300,1,Internet,23,RoundTrip,Australia,163,Sat,8.58,8
301,1,Internet,19,RoundTrip,Australia,70,Wed,8.58,12
302,1,Internet,26,RoundTrip,Australia,217,Wed,8.58,12
303,1,Internet,35,RoundTrip,Australia,82,Tue,8.58,2
304,1,Internet,20,RoundTrip,Australia,12,Wed,8.58,8
305,1,Internet,72,RoundTrip,Australia,53,Mon,8.58,9
306,1,Internet,31,RoundTrip,Australia,59,Tue,8.58,8
307,5,Internet,21,RoundTrip,Australia,232,Tue,8.58,0
308,1,Internet,31,RoundTrip,Australia,74,Mon,8.58,23
309,1,Internet,51,RoundTrip,Australia,44,Wed,8.58,11
310,2,Internet,72,RoundTrip,Australia,192,Fri,8.58,7
311,1,Internet,21,RoundTrip,Australia,1,Sun,8.58,7
312,1,Internet,21,RoundTrip,Australia,58,Wed,8.58,3
313,1,Mobile,24,RoundTrip,Australia,26,Sun,8.58,5
314,2,Internet,60,RoundTrip,Australia,23,Mon,8.58,12
315,2,Internet,60,RoundTrip,Australia,70,Fri,8.58,10
316,1,Internet,31,RoundTrip,Australia,46,Mon,8.58,11
317,3,Internet,56,RoundTrip,Australia,235,Sat,8.58,1
318,1,Internet,31,RoundTrip,Australia,75,Sun,8.58,6
319,1,Internet,70,RoundTrip,Australia,7,Sun,8.58,9
320,1,Internet,19,RoundTrip,Australia,27,Sat,8.58,17
321,1,Internet,42,RoundTrip,Australia,25,Tue,8.83,5
322,1,Internet,28,RoundTrip,Australia,152,Sun,8.83,11
323,1,Internet,18,RoundTrip,Australia,54,Thu,8.83,12
324,2,Internet,34,RoundTrip,Australia,33,Mon,8.83,14
325,1,Internet,31,RoundTrip,Australia,183,Tue,8.83,11
326,1,Internet,29,RoundTrip,Australia,6,Fri,8.83,2
327,1,Internet,19,RoundTrip,Australia,72,Sat,8.83,2
328,1,Internet,20,RoundTrip,Australia,170,Wed,5.62,1
329,1,Internet,24,RoundTrip,Australia,121,Mon,5.62,15
330,3,Internet,31,RoundTrip,Australia,17,Wed,5.62,15
331,2,Internet,29,RoundTrip,Australia,119,Mon,5.62,15
332,3,Internet,35,RoundTrip,Australia,133,Wed,5.62,5
333,2,Internet,33,RoundTrip,Australia,13,Tue,5.62,11
334,2,Internet,49,RoundTrip,Australia,67,Tue,8.58,23
335,1,Internet,20,RoundTrip,Australia,67,Thu,8.58,12
336,1,Internet,47,RoundTrip,Australia,23,Sat,8.58,11
337,1,Internet,17,RoundTrip,Australia,4,Thu,8.58,9
338,2,Internet,162,RoundTrip,Australia,15,Tue,8.58,19
339,1,Internet,122,RoundTrip,Australia,7,Mon,8.58,12
340,1,Internet,88,RoundTrip,Australia,6,Wed,8.58,11
341,1,Internet,358,RoundTrip,Australia,23,Sat,8.58,7
342,3,Internet,31,RoundTrip,Australia,120,Mon,8.58,9
343,3,Internet,18,RoundTrip,Australia,158,Tue,8.58,6
344,1,Internet,32,RoundTrip,Australia,162,Wed,8.58,11
345,1,Internet,24,RoundTrip,Australia,38,Wed,5.62,14
346,1,Internet,135,RoundTrip,Australia,171,Sun,5.62,5
347,1,Mobile,30,RoundTrip,Australia,23,Thu,5.62,15
348,2,Internet,35,RoundTrip,Australia,200,Mon,5.62,12
349,2,Internet,31,RoundTrip,Australia,179,Fri,5.62,4
350,1,Internet,18,RoundTrip,Australia,389,Sun,5.62,1
351,2,Internet,19,RoundTrip,Australia,86,Sun,5.62,13
352,1,Internet,20,RoundTrip,Australia,240,Mon,8.83,10
353,1,Internet,51,RoundTrip,Australia,47,Fri,8.83,9
354,1,Internet,23,RoundTrip,Australia,6,Tue,8.83,11
355,1,Internet,44,RoundTrip,Australia,127,Sat,8.83,12
356,1,Internet,19,RoundTrip,Australia,247,Sun,8.83,14
357,1,Internet,25,RoundTrip,Australia,80,Fri,8.83,6
358,1,Internet,28,RoundTrip,Australia,45,Sun,8.83,2
359,1,Internet,20,RoundTrip,Australia,29,Sat,5.62,14
360,1,Internet,392,RoundTrip,Australia,49,Sun,5.62,8
361,1,Internet,78,RoundTrip,Australia,53,Tue,5.62,14
362,1,Internet,90,RoundTrip,Australia,210,Sun,5.62,15
363,2,Internet,19,RoundTrip,Australia,78,Thu,5.62,12
364,1,Internet,17,RoundTrip,Australia,2,Tue,5.62,14
365,1,Internet,19,RoundTrip,Australia,94,Wed,5.62,1
366,2,Internet,26,RoundTrip,Australia,30,Sat,5.62,12
367,1,Internet,41,RoundTrip,Australia,31,Thu,5.62,13
368,1,Internet,24,RoundTrip,Australia,41,Fri,5.62,20
369,1,Internet,23,RoundTrip,Australia,8,Wed,8.58,2
370,1,Mobile,18,RoundTrip,Australia,331,Tue,5.52,8
371,1,Internet,20,RoundTrip,Australia,96,Tue,8.83,10
372,1,Internet,35,RoundTrip,Australia,84,Wed,8.83,14
373,1,Internet,34,RoundTrip,Australia,18,Thu,8.83,11
374,1,Internet,20,RoundTrip,Australia,47,Fri,8.83,13
375,2,Internet,431,RoundTrip,Australia,19,Tue,8.83,12
376,1,Internet,21,RoundTrip,Australia,71,Tue,8.83,8
377,1,Internet,89,RoundTrip,Australia,111,Sat,8.83,10
378,1,Internet,30,RoundTrip,Australia,225,Thu,8.83,6
379,1,Internet,23,RoundTrip,Australia,89,Sat,8.83,0
380,1,Internet,68,RoundTrip,Australia,32,Tue,8.83,7
381,1,Internet,18,RoundTrip,Australia,221,Fri,8.83,12
382,1,Internet,23,RoundTrip,Australia,124,Tue,8.83,16
383,1,Internet,40,RoundTrip,Australia,34,Mon,8.83,13
384,1,Internet,44,RoundTrip,Australia,11,Mon,8.83,5
385,1,Internet,34,RoundTrip,Australia,54,Sat,8.83,5
386,1,Internet,24,RoundTrip,Australia,9,Fri,8.83,22
387,1,Internet,77,RoundTrip,Australia,25,Wed,8.83,15
388,1,Internet,21,RoundTrip,Australia,47,Fri,8.83,6
389,1,Internet,23,RoundTrip,Australia,117,Tue,8.83,1
390,2,Mobile,17,RoundTrip,Australia,201,Thu,8.83,22
391,2,Internet,17,RoundTrip,Australia,235,Mon,8.83,9
392,1,Internet,34,RoundTrip,Australia,26,Thu,5.62,11
393,1,Internet,53,RoundTrip,Australia,2,Fri,5.62,1
394,1,Internet,74,RoundTrip,Australia,40,Sat,5.62,4
395,1,Internet,71,RoundTrip,Australia,22,Fri,5.62,12
396,1,Mobile,22,RoundTrip,Australia,65,Wed,5.62,2
397,1,Internet,29,RoundTrip,Australia,60,Tue,5.62,10
398,1,Internet,17,RoundTrip,Australia,383,Thu,5.62,6
399,2,Internet,28,RoundTrip,Australia,177,Wed,5.62,3
400,1,Internet,36,RoundTrip,Australia,63,Wed,5.62,6
401,1,Internet,49,RoundTrip,Australia,21,Mon,5.62,20
403,1,Internet,78,RoundTrip,Australia,61,Fri,5.62,11
404,1,Mobile,29,RoundTrip,Australia,351,Sun,5.62,2
405,1,Internet,44,RoundTrip,Australia,2,Mon,5.62,10
406,1,Internet,66,RoundTrip,Australia,23,Wed,5.62,4
407,4,Internet,31,RoundTrip,Australia,100,Wed,5.62,14
408,1,Internet,20,RoundTrip,Australia,31,Sat,5.62,16
409,1,Internet,34,RoundTrip,Australia,92,Thu,5.62,9
410,2,Internet,41,RoundTrip,Australia,55,Fri,5.62,14
412,1,Internet,78,RoundTrip,Australia,71,Tue,5.62,16
413,1,Internet,29,RoundTrip,Australia,398,Tue,5.62,11
414,1,Mobile,34,RoundTrip,Australia,84,Sun,5.62,14
415,1,Internet,31,RoundTrip,Australia,18,Sat,5.62,16
416,3,Internet,35,RoundTrip,Australia,207,Fri,5.62,13
417,1,Internet,29,RoundTrip,Australia,14,Fri,5.62,7
418,2,Internet,19,RoundTrip,Australia,15,Wed,5.62,12
419,3,Internet,17,RoundTrip,Australia,79,Wed,5.62,17
420,1,Internet,19,RoundTrip,Australia,47,Thu,5.62,14
421,1,Internet,54,RoundTrip,Australia,37,Thu,5.62,16
422,3,Internet,26,RoundTrip,Australia,85,Mon,5.62,3
423,4,Internet,17,RoundTrip,Australia,269,Wed,5.62,6
