,num_passengers,purchase_to_travel,length_of_stay,flight_hour,flight_duration,clusters,cluster
435,1,60,35,16,8.58,0,pink
436,1,59,89,7,8.58,0,pink
437,1,28,20,16,8.58,0,pink
438,1,87,70,11,8.58,2,dark purple
439,1,21,46,5,8.58,0,pink
440,1,37,102,4,8.58,0,pink
441,1,117,20,9,8.58,2,dark purple
442,2,47,17,12,8.58,0,pink
443,1,18,17,8,8.58,0,pink
444,1,120,76,2,8.58,2,dark purple
445,1,42,26,5,8.58,0,pink
446,1,34,88,15,8.58,0,pink
447,1,101,113,10,8.58,2,dark purple
448,1,55,58,16,8.58,0,pink
449,1,118,27,4,8.58,2,dark purple
450,3,223,28,4,8.58,1,purple
451,1,73,71,21,8.58,0,pink
452,1,17,24,12,8.83,0,pink
453,1,262,36,2,8.83,1,purple
454,1,79,27,12,8.83,0,pink
455,1,64,18,7,8.83,0,pink
456,1,11,184,7,8.83,0,pink
457,2,30,20,14,8.83,0,pink
458,1,7,31,3,8.83,0,pink
459,1,56,82,7,8.83,0,pink
460,5,227,34,0,8.83,1,purple
461,2,150,17,15,8.83,2,dark purple
462,1,278,24,7,8.83,1,purple
463,1,9,96,6,8.83,0,pink
464,1,169,22,1,8.83,2,dark purple
465,2,53,42,2,8.83,0,pink
466,2,77,28,23,8.83,0,pink
467,2,40,27,8,8.83,0,pink
468,1,21,19,7,8.83,0,pink
469,2,263,43,13,8.83,1,purple
470,3,104,33,11,8.83,2,dark purple
471,1,28,62,1,8.83,0,pink
472,1,47,30,12,8.83,0,pink
473,1,64,32,22,8.83,0,pink
474,2,173,88,3,8.83,2,dark purple
475,1,49,86,10,8.83,0,pink
476,1,174,21,7,8.83,2,dark purple
477,1,86,21,13,8.83,2,dark purple
478,1,8,76,4,8.83,0,pink
479,1,34,28,8,8.83,0,pink
480,2,160,35,11,8.83,2,dark purple
481,1,33,31,3,8.83,0,pink
482,1,53,61,2,8.83,0,pink
483,1,28,29,14,8.83,0,pink
484,1,3,43,4,8.83,0,pink
485,1,67,19,15,8.83,0,pink
486,1,51,51,3,8.83,0,pink
487,1,18,18,9,8.83,0,pink
488,1,65,36,10,8.83,0,pink
489,2,218,21,0,8.83,1,purple
490,1,67,21,4,8.83,0,pink
491,1,108,236,11,8.83,2,dark purple
492,2,62,98,12,8.83,0,pink
493,1,55,23,15,8.83,0,pink
494,1,11,29,9,8.83,0,pink
495,1,113,24,11,8.83,2,dark purple
496,1,58,31,23,8.83,0,pink
497,1,46,32,3,8.83,0,pink
498,2,187,31,8,8.83,2,dark purple
499,2,45,353,1,8.83,0,pink
500,1,180,39,16,8.83,2,dark purple
501,1,54,18,0,8.83,0,pink
502,3,192,32,11,8.83,2,dark purple
503,3,154,38,4,8.83,2,dark purple
504,1,32,24,12,8.83,0,pink
505,1,71,29,3,8.83,0,pink
506,2,238,21,23,8.83,1,purple
507,1,52,24,0,8.83,0,pink
508,1,34,183,9,8.83,0,pink
509,1,90,29,22,8.83,2,dark purple
510,1,12,89,23,8.83,0,pink
511,1,79,91,6,8.83,0,pink
512,1,104,28,12,8.83,2,dark purple
513,1,17,20,23,8.83,0,pink
514,2,407,21,10,8.83,1,purple
515,1,45,88,23,8.83,0,pink
516,1,97,55,2,8.83,2,dark purple
517,1,96,25,11,8.83,2,dark purple
518,1,237,29,12,8.83,1,purple
519,1,111,40,10,8.83,2,dark purple
520,1,120,21,11,8.83,2,dark purple
521,1,24,18,7,8.83,0,pink
522,1,6,24,13,8.83,0,pink
523,1,24,32,9,8.83,0,pink
524,2,360,24,9,8.83,1,purple
525,1,96,25,11,8.83,2,dark purple
526,1,38,17,17,5.62,0,pink
527,1,3,18,3,5.62,0,pink
528,2,101,17,14,5.62,2,dark purple
529,4,260,34,1,5.62,1,purple
530,1,53,116,6,5.62,0,pink
531,2,118,46,1,5.62,2,dark purple
532,1,140,58,3,5.62,2,dark purple
533,2,107,26,3,5.62,2,dark purple
534,1,76,87,15,5.62,0,pink
535,1,78,160,16,5.62,0,pink
536,4,130,19,11,5.62,2,dark purple
537,1,19,200,2,5.62,0,pink
538,1,40,18,3,5.62,0,pink
539,1,31,30,23,5.62,0,pink
540,1,134,38,5,5.62,2,dark purple
541,1,2,17,13,5.62,0,pink
542,1,265,33,10,5.62,1,purple
543,2,43,92,12,5.62,0,pink
544,3,80,25,6,5.62,0,pink
545,1,40,47,11,5.62,0,pink
546,1,28,20,4,5.62,0,pink
547,1,223,46,4,5.62,1,purple
548,1,61,21,5,5.62,0,pink
549,3,183,37,13,5.62,2,dark purple
550,3,56,19,13,5.62,0,pink
551,1,110,43,5,5.62,2,dark purple
552,1,71,18,4,5.62,0,pink
553,1,63,35,4,5.62,0,pink
554,3,168,30,1,5.62,2,dark purple
555,1,72,93,13,5.62,0,pink
556,2,62,21,10,5.62,0,pink
557,2,154,47,11,5.62,2,dark purple
558,1,252,18,10,5.62,1,purple
559,2,146,28,2,8.58,2,dark purple
560,1,30,25,15,8.58,0,pink
561,1,201,21,9,8.58,2,dark purple
562,3,126,66,10,8.58,2,dark purple
563,1,32,27,6,8.58,0,pink
564,1,62,26,4,8.58,0,pink
565,1,35,26,7,8.58,0,pink
566,1,5,108,12,8.58,0,pink
567,1,170,21,8,8.58,2,dark purple
568,1,1,137,5,8.58,0,pink
569,2,55,25,1,8.58,0,pink
570,1,16,23,8,8.58,0,pink
571,3,188,38,12,8.58,2,dark purple
572,2,77,29,11,8.58,0,pink
573,1,172,26,10,8.58,2,dark purple
574,1,17,33,15,8.58,0,pink
575,3,201,21,9,8.58,2,dark purple
576,1,204,37,11,8.58,2,dark purple
577,2,332,19,3,8.58,1,purple
578,1,128,36,13,8.58,2,dark purple
579,1,89,27,12,8.58,2,dark purple
580,1,248,35,2,8.58,1,purple
581,1,154,25,9,8.58,2,dark purple
582,2,288,83,6,8.58,1,purple
583,2,87,83,9,8.58,2,dark purple
584,1,247,41,11,8.58,1,purple
585,1,50,21,7,8.58,0,pink
586,1,141,52,23,8.58,2,dark purple
587,1,64,38,1,8.58,0,pink
588,4,203,35,21,8.58,2,dark purple
589,1,54,33,11,8.58,0,pink
590,1,4,39,10,8.58,0,pink
591,2,74,85,3,8.58,0,pink
592,1,49,52,12,8.58,0,pink
593,2,38,52,6,8.58,0,pink
594,1,87,22,9,8.58,2,dark purple
595,1,116,25,6,8.58,2,dark purple
596,1,207,28,9,8.58,2,dark purple
597,1,383,17,23,8.58,1,purple
598,2,113,17,5,8.58,2,dark purple
599,1,60,17,12,8.58,0,pink
600,1,1,42,4,8.58,0,pink
601,1,73,28,13,8.58,0,pink
602,2,301,19,2,8.58,1,purple
603,1,111,30,7,8.58,2,dark purple
604,1,58,20,8,8.58,0,pink
605,1,74,47,13,8.58,0,pink
606,1,27,32,11,8.58,0,pink
607,1,2,68,1,8.58,0,pink
608,2,294,54,8,8.58,1,purple
609,1,58,35,1,8.58,0,pink
610,1,109,23,7,8.58,2,dark purple
611,2,135,54,13,8.58,2,dark purple
612,2,131,19,5,8.58,2,dark purple
613,2,22,17,10,8.58,0,pink
614,2,366,33,3,8.58,1,purple
615,1,8,91,11,8.58,0,pink
616,1,56,21,22,8.58,0,pink
617,1,214,45,8,8.58,2,dark purple
618,1,21,24,10,8.58,0,pink
619,3,47,23,1,8.58,0,pink
620,2,119,20,10,8.58,2,dark purple
621,2,100,86,12,8.58,2,dark purple
622,1,153,44,2,8.58,2,dark purple
623,2,53,71,11,8.58,0,pink
624,1,49,22,20,8.83,0,pink
625,1,69,21,3,8.83,0,pink
626,1,122,20,10,8.83,2,dark purple
627,1,27,29,12,8.83,0,pink
628,1,47,18,5,8.83,0,pink
629,1,52,81,10,8.83,0,pink
630,2,246,22,7,8.83,1,purple
631,2,94,17,9,8.83,2,dark purple
632,2,80,17,1,8.83,0,pink
633,1,20,50,7,8.83,0,pink
634,1,35,34,8,8.83,0,pink
635,1,29,20,1,8.83,0,pink
636,1,11,79,23,8.83,0,pink
637,1,4,19,6,8.83,0,pink
638,1,6,29,10,8.83,0,pink
639,1,31,17,5,8.83,0,pink
640,1,52,80,2,8.83,0,pink
641,2,95,27,17,8.83,2,dark purple
642,2,68,18,8,8.83,0,pink
643,1,178,31,11,8.83,2,dark purple
644,1,44,26,9,8.83,0,pink
645,1,11,84,17,8.83,0,pink
646,1,71,41,4,8.83,0,pink
647,1,68,23,10,8.83,0,pink
648,4,241,18,5,8.83,1,purple
649,1,47,17,23,8.83,0,pink
650,1,61,83,0,8.83,0,pink
651,1,264,18,22,8.83,1,purple
652,1,22,21,6,8.83,0,pink
653,1,5,51,13,8.83,0,pink
654,1,2,36,9,8.83,0,pink
655,2,57,23,11,8.83,0,pink
656,2,28,45,13,8.83,0,pink
657,1,11,24,8,8.83,0,pink
658,1,13,31,11,8.83,0,pink
659,1,73,17,0,8.83,0,pink
660,2,284,28,11,8.83,1,purple
661,1,42,17,9,8.83,0,pink
662,2,16,18,8,8.83,0,pink
663,3,187,49,23,8.83,2,dark purple
664,1,45,31,6,8.83,0,pink
665,1,118,38,17,8.83,2,dark purple
666,2,168,18,9,8.83,2,dark purple
667,3,58,22,3,8.83,0,pink
668,1,14,92,4,8.83,0,pink
669,1,146,20,6,8.83,2,dark purple
670,1,128,23,2,8.83,2,dark purple
671,2,252,24,7,8.83,1,purple
672,1,65,90,15,8.83,0,pink
673,1,7,27,1,8.83,0,pink
674,1,29,38,7,8.83,0,pink
675,3,136,17,5,8.83,2,dark purple
676,2,11,43,12,8.83,0,pink
677,1,71,62,4,8.83,0,pink
678,2,250,20,11,8.83,1,purple
679,3,61,22,7,8.83,0,pink
680,2,134,25,7,8.83,2,dark purple
681,1,17,119,16,8.83,0,pink
682,1,140,17,6,8.83,2,dark purple
683,1,22,29,16,8.83,0,pink
684,1,28,37,6,8.83,0,pink
685,1,70,41,1,8.83,0,pink
686,1,14,19,11,8.83,0,pink
687,2,259,18,22,8.83,1,purple
688,1,48,27,4,8.83,0,pink
689,2,188,26,6,8.83,2,dark purple
690,2,120,19,4,8.83,2,dark purple
691,1,30,55,0,8.83,0,pink
692,2,131,19,4,8.83,2,dark purple
693,1,49,32,6,8.83,0,pink
694,2,72,34,9,8.83,0,pink
695,1,51,85,10,8.83,0,pink
696,1,376,60,22,8.83,1,purple
697,1,103,26,5,8.83,2,dark purple
698,1,16,31,2,8.83,0,pink
699,1,24,17,1,8.83,0,pink
700,1,49,20,2,8.83,0,pink
701,3,5,78,0,8.83,0,pink
702,2,79,24,0,8.83,0,pink
703,2,94,17,6,8.83,2,dark purple
704,1,71,57,0,8.83,0,pink
705,1,96,43,1,8.83,2,dark purple
706,1,20,27,5,8.83,0,pink
707,3,68,22,4,8.83,0,pink
708,1,71,18,0,8.83,0,pink
709,1,115,27,9,8.83,2,dark purple
710,1,24,22,8,8.83,0,pink
